,Accuracy,F1 (Weighted),Prec (Neg),Prec (Neu),Prec (Pos),Recall (Neg),Recall (Neu),Recall (Pos)
Complement Naive Bayes,0.7509282273159655,0.7520298985798185,0.6330505436730792,0.7629740518962076,0.8119014084507042,0.7459870459025627,0.6926073564051458,0.7979098899577826
Logistic Regression,0.8862499616434993,0.8853919887551955,0.8539394870219629,0.8751259657373195,0.9104446012702894,0.7828780625176007,0.9441021924261641,0.8928645581009066
Linear SVM,0.8895025928994446,0.8888481061495926,0.8555891238670695,0.8787341772151899,0.9144415326864509,0.7975218248380738,0.9433774234462765,0.8935566475188594
Random Forest,0.5572432415845837,0.47663336601695677,0.9539007092198581,0.8364724130290273,0.5078793984313161,0.037876654463531396,0.34200036238448994,0.9769534223821718
